transaction_id,date,item_id,item_name,category,quantity_sold,selling_price,cost_price,discount_applied,payment_mode,customer_type,stock_after_sale,supplier_id,gst_rate,location_pin
T1001,2025-12-01,I001,Rice 25kg,Grains,8,1200,950,0,UPI,Retail,52,SUP01,5,600001
T1002,2025-12-01,I002,Sunflower Oil 1L,Oil,12,140,110,0,Cash,Retail,38,SUP02,5,600001
T1003,2025-12-02,I003,Sugar 1kg,Grains,25,45,38,0,UPI,Wholesale,35,SUP01,5,600001
T1004,2025-12-02,I004,Tata Salt 1kg,Essentials,15,28,22,0,Cash,Retail,60,SUP01,0,600001
T1005,2025-12-03,I005,Amul Butter 100g,Dairy,8,56,45,2,UPI,Retail,22,SUP03,12,600001
T1006,2025-12-04,I006,Maggi Noodles 70g,Processed Food,30,14,11,0,Cash,Retail,120,SUP04,18,600001
T1007,2025-12-05,I007,Surf Excel Bar 250g,Cleaning,10,32,25,0,UPI,Retail,45,SUP05,18,600001
T1008,2025-12-06,I009,Cadbury Dairy Milk Silk,Sweets,15,85,65,5,Cash,Retail,35,SUP06,18,600001
T1009,2025-12-07,I010,Coca Cola 750ml,Beverages,20,40,30,0,UPI,Retail,60,SUP07,28,600001
T1010,2025-12-08,I008,Colgate Strong Teeth 100g,Personal Care,6,54,42,0,Cash,Retail,18,SUP05,18,600001
T1011,2025-12-10,I001,Rice 25kg,Grains,10,1200,950,0,UPI,Wholesale,42,SUP01,5,600001
T1012,2025-12-10,I002,Sunflower Oil 1L,Oil,18,140,110,5,Cash,Retail,20,SUP02,5,600001
T1013,2025-12-12,I003,Sugar 1kg,Grains,30,45,38,0,UPI,Retail,5,SUP01,5,600001
T1014,2025-12-13,I006,Maggi Noodles 70g,Processed Food,40,14,11,0,Cash,Retail,80,SUP04,18,600001
T1015,2025-12-14,I009,Cadbury Dairy Milk Silk,Sweets,20,85,65,0,Cash,Retail,15,SUP06,18,600001
T1016,2025-12-15,I010,Coca Cola 750ml,Beverages,25,40,30,0,UPI,Retail,35,SUP07,28,600001
T1017,2025-12-18,I004,Tata Salt 1kg,Essentials,20,28,22,0,Cash,Wholesale,40,SUP01,0,600001
T1018,2025-12-20,I001,Rice 25kg,Grains,12,1200,950,0,UPI,Retail,30,SUP01,5,600001
